Date,Shipment,Mode,Product,SI QTY,QTY,Total Packages,Standard Total,Boxes Total,Warp Total,Returnable Total,Ratio Standard,Ratio Boxes,Ratio Warp,Ratio Returnable,110x110x115 QTY,110x110x90 QTY,110x110x65 QTY,80X120X115 QTY,80X120X90 QTY,80X120X65 QTY,42X46X68 QTY,47X66X68 QTY,53X53X58 QTY,57X64X84 QTY,68X74X86 QTY,70X100X90 QTY,27X27X22 QTY,53X53X19 QTY,WARP QTY,UNIT QTY,RETURNABLE QTY,Remark
19-02-2021,FEA,COURIER,TEMPERATURE CONTROL,1,21,2,0,2,0,0,0.00,0.67,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,
19-02-2021,FEK,VESSEL,INVERTER,6,11,11,0,0,11,0,0.00,0.00,1.10,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,
19-02-2021,FEC,VESSEL,TEMPERATURE CONTROL,1,994,6,1,5,0,0,1.00,1.67,0.00,0.00,1,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,
19-02-2021,FEA,COURIER,TEMPERATURE CONTROL,1,10,2,0,2,0,0,0.00,0.67,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,
19-02-2021,FAP,AIRCRAFT,TEMPERATURE CONTROL,1,38,2,0,2,0,0,0.00,0.67,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,
22-02-2021,FEC,VESSEL,TEMPERATURE CONTROL,1,205,1,0,1,0,0,0.00,0.33,0.00,0.00,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
22-02-2021,FEF,AIRCRAFT,TEMPERATURE CONTROL,3,531,4,0,4,0,0,0.00,1.33,0.00,0.00,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,
22-02-2021,FAP,VESSEL,INVERTER,19,726,45,12,14,19,0,12.00,4.67,1.90,0.00,4,8,0,0,0,0,4,3,0,1,0,6,0,0,19,0,0,
23-02-2021,FEA NJ,AIRCRAFT,INVERTER,1,14,2,1,1,0,0,1.00,0.33,0.00,0.00,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,
23-02-2021,FEA NJ,VESSEL,INVERTER,5,692,14,9,5,0,0,9.00,1.67,0.00,0.00,0,0,0,7,2,0,0,2,0,1,2,0,0,0,0,0,0,
24-02-2021,FEC,VESSEL,INVERTER,1,125,4,3,1,0,0,3.00,0.33,0.00,0.00,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
24-02-2021,FEI,AIRCRAFT,INVERTER,13,1094,18,7,9,2,0,7.00,3.00,0.20,0.00,7,0,0,0,0,0,2,0,0,3,3,1,0,0,2,0,0,
24-02-2021,FEI,VESSEL,INVERTER,10,102,14,2,6,6,0,2.00,2.00,0.60,0.00,2,0,0,0,0,0,1,1,0,2,1,1,0,0,6,0,0,
25-02-2021,FAP,VESSEL,INVERTER,3,52,3,0,1,2,0,0.00,0.33,0.20,0.00,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,
25-02-2021,FEI,AIRCRAFT,INVERTER,1,1,1,0,0,1,0,0.00,0.00,0.10,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
01-03-2021,FAP,VESSEL,INVERTER,11,129,26,3,7,16,0,3.00,2.33,1.60,0.00,3,0,0,0,0,0,1,1,0,1,1,3,0,0,16,0,0,
01-03-2021,FEF,AIRCRAFT,TEMPERATURE CONTROL,2,248,5,0,5,0,0,0.00,1.67,0.00,0.00,0,0,0,0,0,0,0,0,2,0,0,0,2,1,0,0,0,
02-03-2021,FEE,AIRCRAFT,INVERTER,3,134,4,4,0,0,0,4.00,0.00,0.00,0.00,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,
02-03-2021,FEA NJ,VESSEL,INVERTER,7,82,28,1,4,23,0,1.00,1.33,2.30,0.00,0,0,0,1,0,0,2,1,0,0,0,1,0,0,23,0,0,
02-03-2021,FEJP,VESSEL,INVERTER,1,279,12,9,3,0,0,9.00,1.00,0.00,0.00,9,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,Periodic Nagoya
03-03-2021,FEID,VESSEL,INVERTER,13,78,14,0,10,4,0,0.00,3.33,0.40,0.00,0,0,0,0,0,0,6,1,0,0,1,2,0,0,4,0,0,
03-03-2021,FEI,AIRCRAFT,INVERTER,22,1545,49,10,10,29,0,10.00,3.33,2.90,0.00,5,5,0,0,0,0,1,2,0,1,3,3,0,0,29,0,0,
03-03-2021,FEI,VESSEL,INVERTER,6,28,28,0,0,28,0,0.00,0.00,2.80,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,
03-03-2021,FEE,VESSEL,INVERTER,10,1394,116,0,1,84,31,0.00,0.33,8.40,15.50,0,0,0,0,0,0,0,0,0,0,1,0,0,0,84,0,31,
03-03-2021,FEC,VESSEL,TEMPERATURE CONTROL,1,716,5,0,5,0,0,0.00,1.67,0.00,0.00,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,
04-03-2021,FEI,AIRCRAFT,TEMPERATURE CONTROL,2,139,2,0,2,0,0,0.00,0.67,0.00,0.00,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,
05-03-2021,FAP,AIRCRAFT,INVERTER,3,293,3,3,0,0,0,3.00,0.00,0.00,0.00,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
05-03-2021,FAP,VESSEL,INVERTER,6,210,6,1,4,1,0,1.00,1.33,0.10,0.00,0,1,0,0,0,0,1,0,0,0,0,3,0,0,1,0,0,
05-03-2021,FAP,VESSEL,INVERTER,8,95,13,1,6,6,0,1.00,2.00,0.60,0.00,1,0,0,0,0,0,0,1,0,0,2,2,1,0,6,0,0,
08-03-2021,FEC,VESSEL,TEMPERATURE CONTROL,2,7133,13,9,4,0,0,9.00,1.33,0.00,0.00,9,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,
